schema,model,mode,T,P,prime_f1,prime_recall,prime_precision,strategy,exact_f1,exact_recall,exact_precision,relaxed_f1,relaxed_recall,relaxed_precision,questions,minutes,keys,members
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,full,7,,,,,Agg.,0.3333,1.0000,0.2000,0.3333,1.0000,0.2000,115,161.8800,"G,playerID,tmID,year | S,playerID,stint,tmID | S,playerID,tmID,year | playerID,stint,year | stint,tmID,year",4
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,full,7,,,,,M4,0.5000,1.0000,0.3333,0.5000,1.0000,0.3333,,,"G,playerID,tmID,year | playerID,stint,year | stint,tmID,year",4
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,full,7,,,,,M2,0.3333,1.0000,0.2000,0.3333,1.0000,0.2000,,,"G,playerID,tmID,year | S,playerID,stint,tmID | S,playerID,tmID,year | playerID,stint,year | stint,tmID,year",4
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,Agg.,0.1818,1.0000,0.1000,0.3333,1.0000,0.2000,129,188.4457,"GA,L,W,playerID,stint | L,SA,W,playerID,tmID | L,W,playerID,year | SA,playerID,stint | SA,playerID,stint,year | W,playerID,stint,tmID | playerID,stint,year | playerID,tmID,year | stint,tmID,year | stint,year",4
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,M2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"GA,L,W,playerID,stint | L,SA,W,playerID,tmID | L,W,playerID,year | SA,playerID,stint | W,playerID,stint,tmID | playerID,tmID,year",4
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,M1,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,,,"GA,L,W,playerID,stint | L,SA,W,playerID,tmID | L,W,playerID,year | SA,playerID,stint | W,playerID,stint,tmID | playerID,tmID,year | stint,year",4
team_vs_team,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,Agg.,0.4000,1.0000,0.2500,0.6667,1.0000,0.5000,140,168.8066,"L,OTL,T,W,lgID,oppID | L,T,W,lgID,oppID,year | OTL,oppID,tmID,year | oppID,tmID,year",4
team_vs_team,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,M4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"L,OTL,T,W,lgID,oppID",4
team_vs_team,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,M3,0.5000,1.0000,0.3333,0.5000,1.0000,0.3333,,,"L,OTL,T,W,lgID,oppID | L,T,W,lgID,oppID,year | oppID,tmID,year",4
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,Agg.,0.1739,1.0000,0.0952,0.3200,1.0000,0.1905,182,267.5037,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,IDgoalie2,date,oppID,tmID | IDgoalie1,IDgoalie2,month,oppID,tmID | IDgoalie1,IDgoalie2,month,tmID,year | IDgoalie1,R/P,date | IDgoalie1,R/P,date,tmID | IDgoalie1,R/P,month,tmID,year | IDgoalie1,date,month,oppID,year | IDgoalie1,date,month,tmID,year | IDgoalie1,month,oppID,tmID,year | IDgoalie2,R/P,date,month | IDgoalie2,R/P,month,oppID,tmID,year | IDgoalie2,date,tmID | IDgoalie2,date,tmID,year | R/P,date,month,year | R/P,date,year | date,month,oppID,year | date,month,tmID | date,month,tmID,year | date,oppID | date,oppID,tmID,year",4
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,M4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"IDgoalie1,IDgoalie2,date,month,year",4
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,M2,0.1818,0.5000,0.1111,0.2000,1.0000,0.1111,,,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,IDgoalie2,month,oppID,tmID | IDgoalie1,IDgoalie2,month,tmID,year | IDgoalie1,R/P,month,tmID,year | IDgoalie1,month,oppID,tmID,year | IDgoalie2,R/P,month,oppID,tmID,year | R/P,date,year | date,month,oppID,year | date,month,tmID",4
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,M1,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,,,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,IDgoalie2,month,oppID,tmID | IDgoalie1,IDgoalie2,month,tmID,year | IDgoalie1,R/P,date | IDgoalie1,R/P,month,tmID,year | IDgoalie1,month,oppID,tmID,year | IDgoalie2,R/P,date,month | IDgoalie2,R/P,month,oppID,tmID,year | IDgoalie2,date,tmID | R/P,date,year | date,month,tmID | date,oppID",4
