schema,model,mode,T,P,prime_f1,prime_recall,prime_precision,strategy,exact_f1,exact_recall,exact_precision,relaxed_f1,relaxed_recall,relaxed_precision,questions,minutes,keys
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,full,7,,,,,DA-TD,0.5000,1.0000,0.3333,0.5000,1.0000,0.3333,19,24.5285,"G,playerID,tmID,year | playerID,stint,year | stint,tmID,year"
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,full,7,,,,,DA-TB,0.5000,1.0000,0.3333,0.5000,1.0000,0.3333,19,24.5199,"G,playerID,tmID,year | playerID,stint,year | stint,tmID,year"
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,full,7,,,,,DA-BD,0.3333,1.0000,0.2000,0.3333,1.0000,0.2000,38,55.9160,"G,playerID,tmID,year | S,playerID,stint,tmID | S,playerID,tmID,year | playerID,stint,year | stint,tmID,year"
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,full,7,,,,,DA-BB,0.3333,1.0000,0.2000,0.3333,1.0000,0.2000,39,56.9156,"G,playerID,tmID,year | S,playerID,stint,tmID | S,playerID,tmID,year | playerID,stint,year | stint,tmID,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-TD,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,10,13.1856,"SA,playerID,stint,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-TB,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,10,13.1747,"SA,playerID,stint,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-BD,0.2222,1.0000,0.1250,0.2222,1.0000,0.1250,55,82.5059,"GA,L,W,playerID,stint | L,SA,W,playerID,tmID | L,W,playerID,year | SA,playerID,stint | W,playerID,stint,tmID | playerID,stint,year | playerID,tmID,year | stint,tmID,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-BB,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,54,79.5795,"GA,L,W,playerID,stint | L,SA,W,playerID,tmID | L,W,playerID,year | SA,playerID,stint | W,playerID,stint,tmID | playerID,tmID,year | stint,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-TD,0.5000,1.0000,0.3333,0.5000,1.0000,0.3333,26,32.0171,"L,OTL,T,W,lgID,oppID | L,T,W,lgID,oppID,year | oppID,tmID,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-TB,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,26,31.1728,"L,OTL,T,W,lgID,oppID | OTL,oppID,tmID,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-BD,0.5000,1.0000,0.3333,0.5000,1.0000,0.3333,43,51.5922,"L,OTL,T,W,lgID,oppID | L,T,W,lgID,oppID,year | oppID,tmID,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-BB,0.5000,1.0000,0.3333,0.5000,1.0000,0.3333,45,54.0245,"L,OTL,T,W,lgID,oppID | L,T,W,lgID,oppID,year | oppID,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-TD,0.6667,1.0000,0.5000,0.6667,1.0000,0.5000,18,26.5257,"IDgoalie1,IDgoalie2,date,month,year | R/P,date,month,year | date,month,oppID,year | date,month,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-TB,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,18,28.6552,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,date,month,oppID,year | IDgoalie1,date,month,tmID,year | R/P,date,month,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-BD,0.1250,0.5000,0.0714,0.1333,1.0000,0.0714,73,108.8595,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,IDgoalie2,date,oppID,tmID | IDgoalie1,IDgoalie2,month,oppID,tmID | IDgoalie1,IDgoalie2,month,tmID,year | IDgoalie1,R/P,date | IDgoalie1,R/P,month,tmID,year | IDgoalie1,month,oppID,tmID,year | IDgoalie2,R/P,date,month | IDgoalie2,R/P,month,oppID,tmID,year | IDgoalie2,date,tmID,year | R/P,date,year | date,month,oppID,year | date,month,tmID | date,oppID,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,full,8,,,,,DA-BB,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,73,103.4633,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,IDgoalie2,month,oppID,tmID | IDgoalie1,IDgoalie2,month,tmID,year | IDgoalie1,R/P,date,tmID | IDgoalie1,R/P,month,tmID,year | IDgoalie1,month,oppID,tmID,year | IDgoalie2,R/P,month,oppID,tmID,year | IDgoalie2,date,tmID | R/P,date,year | date,month,tmID | date,oppID"
