schema,model,mode,T,P,prime_f1,prime_recall,prime_precision,strategy,exact_f1,exact_recall,exact_precision,relaxed_f1,relaxed_recall,relaxed_precision,questions,minutes,keys
scoring_shootout,Qwen3-30B-A3B-Thinking-2507,full,7,,,,,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8,15.3529,"playerID,stint,year"
scoring_shootout,Qwen3-30B-A3B-Thinking-2507,full,7,,,,,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,8,13.6915,"playerID,stint,year"
scoring_shootout,Qwen3-30B-A3B-Thinking-2507,full,7,,,,,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,19,33.3643,"playerID,stint,year"
scoring_shootout,Qwen3-30B-A3B-Thinking-2507,full,7,,,,,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,19,33.6812,"playerID,stint,year"
goalies_shootout,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-TD,0.6667,1.0000,0.5000,0.6667,1.0000,0.5000,18,53.5658,"GA,L,W,stint,tmID,year | playerID,stint,year"
goalies_shootout,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-TB,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,19,57.9095,"GA,L,W,stint,tmID,year | L,playerID,stint,year"
goalies_shootout,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-BD,0.6667,1.0000,0.5000,0.6667,1.0000,0.5000,31,87.3149,"GA,L,stint,tmID,year | playerID,stint,year"
goalies_shootout,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-BB,0.6667,1.0000,0.5000,0.6667,1.0000,0.5000,31,87.1031,"GA,L,stint,tmID,year | playerID,stint,year"
team_vs_team,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,24.9085,"oppID,tmID,year"
team_vs_team,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9,25.8400,"oppID,tmID,year"
team_vs_team,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,22,32.2628,"oppID,tmID,year"
team_vs_team,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,22,33.0643,"oppID,tmID,year"
combined_shutouts,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-TD,0.2857,0.5000,0.2000,0.5455,0.5000,0.6000,23,75.2528,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,R/P,date,month,year | IDgoalie1,date,month,oppID,year | IDgoalie2,R/P,date,month,oppID,year | date,month,tmID,year"
combined_shutouts,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-TB,0.2857,0.5000,0.2000,0.5455,0.5000,0.6000,25,79.1568,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,R/P,date,month,year | IDgoalie1,date,month,oppID,year | IDgoalie2,R/P,date,month,oppID,year | date,month,tmID,year"
combined_shutouts,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-BD,0.6667,1.0000,0.5000,0.6667,1.0000,0.5000,32,67.4363,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,R/P,date,month,year | date,month,oppID,year | date,month,tmID,year"
combined_shutouts,Qwen3-30B-A3B-Thinking-2507,full,8,,,,,DA-BB,0.6667,1.0000,0.5000,0.6667,1.0000,0.5000,39,79.3046,"IDgoalie1,IDgoalie2,date,month,year | IDgoalie1,R/P,date,month,year | date,month,oppID,year | date,month,tmID,year"
