schema,model,mode,T,P,prime_f1,prime_recall,prime_precision,strategy,exact_f1,exact_recall,exact_precision,relaxed_f1,relaxed_recall,relaxed_precision,questions,minutes,keys
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,prime,7,3,1.0000,1.0000,1.0000,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,4.9183,"playerID,stint,year"
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,prime,7,3,1.0000,1.0000,1.0000,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,4.6356,"playerID,stint,year"
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,prime,7,3,1.0000,1.0000,1.0000,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,8.0094,"playerID,stint,year"
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,prime,7,3,1.0000,1.0000,1.0000,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,8.0106,"playerID,stint,year"
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,prime,7,3,1.0000,1.0000,1.0000,Agg.,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,18,20.6556,"playerID,stint,year"
scoring_shootout,DeepSeek-R1-Distill-Llama-70B,prime,7,3,1.0000,1.0000,1.0000,M3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,"playerID,stint,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,prime,8,3,1.0000,1.0000,1.0000,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,4.5155,"playerID,stint,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,prime,8,3,1.0000,1.0000,1.0000,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,4.5147,"playerID,stint,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,prime,8,3,1.0000,1.0000,1.0000,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,6.7935,"playerID,stint,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,prime,8,3,1.0000,1.0000,1.0000,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,6.7912,"playerID,stint,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,prime,8,3,1.0000,1.0000,1.0000,Agg.,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,22,22.6148,"playerID,stint,year"
goalies_shootout,DeepSeek-R1-Distill-Llama-70B,prime,8,3,1.0000,1.0000,1.0000,M4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,"playerID,stint,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,prime,8,4,0.8571,1.0000,0.7500,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,4.9543,"oppID,tmID,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,prime,8,4,0.8571,1.0000,0.7500,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,4.9540,"oppID,tmID,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,prime,8,4,0.8571,1.0000,0.7500,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,9.8637,"oppID,tmID,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,prime,8,4,0.8571,1.0000,0.7500,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,9.8637,"oppID,tmID,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,prime,8,4,0.8571,1.0000,0.7500,Agg.,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,30,29.6357,"oppID,tmID,year"
team_vs_team,DeepSeek-R1-Distill-Llama-70B,prime,8,4,0.8571,1.0000,0.7500,M4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,"oppID,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,prime,8,5,1.0000,1.0000,1.0000,DA-TD,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,10,13.6820,"date,oppID,year | date,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,prime,8,5,1.0000,1.0000,1.0000,DA-TB,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,10,15.2237,"date,oppID,year | date,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,prime,8,5,1.0000,1.0000,1.0000,DA-BD,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,14,15.6268,"date,oppID | date,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,prime,8,5,1.0000,1.0000,1.0000,DA-BB,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,15,15.9551,"date,oppID | date,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,prime,8,5,1.0000,1.0000,1.0000,Agg.,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,49,60.4876,"date,oppID | date,oppID,year | date,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,prime,8,5,1.0000,1.0000,1.0000,M4,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,,,"date,tmID,year"
combined_shutouts,DeepSeek-R1-Distill-Llama-70B,prime,8,5,1.0000,1.0000,1.0000,M2,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,,,"date,oppID | date,tmID,year"
teams_half,DeepSeek-R1-Distill-Llama-70B,prime,11,3,1.0000,1.0000,1.0000,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,4.2620,"half,tmID,year"
teams_half,DeepSeek-R1-Distill-Llama-70B,prime,11,3,1.0000,1.0000,1.0000,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,4.2621,"half,tmID,year"
teams_half,DeepSeek-R1-Distill-Llama-70B,prime,11,3,1.0000,1.0000,1.0000,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,7.4546,"half,tmID,year"
