schema,model,mode,T,P,prime_f1,prime_recall,prime_precision,strategy,exact_f1,exact_recall,exact_precision,relaxed_f1,relaxed_recall,relaxed_precision,questions,minutes,keys
scoring_shootout,Qwen3-30B-A3B-Thinking-2507,prime,7,3,1.0000,1.0000,1.0000,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,5.5268,"playerID,stint,year"
scoring_shootout,Qwen3-30B-A3B-Thinking-2507,prime,7,3,1.0000,1.0000,1.0000,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,6.1023,"playerID,stint,year"
scoring_shootout,Qwen3-30B-A3B-Thinking-2507,prime,7,3,1.0000,1.0000,1.0000,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,10.1731,"playerID,stint,year"
scoring_shootout,Qwen3-30B-A3B-Thinking-2507,prime,7,3,1.0000,1.0000,1.0000,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,8.7558,"playerID,stint,year"
goalies_shootout,Qwen3-30B-A3B-Thinking-2507,prime,8,3,1.0000,1.0000,1.0000,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,6.0896,"playerID,stint,year"
goalies_shootout,Qwen3-30B-A3B-Thinking-2507,prime,8,3,1.0000,1.0000,1.0000,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,5.6015,"playerID,stint,year"
goalies_shootout,Qwen3-30B-A3B-Thinking-2507,prime,8,3,1.0000,1.0000,1.0000,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,12.5013,"playerID,stint,year"
goalies_shootout,Qwen3-30B-A3B-Thinking-2507,prime,8,3,1.0000,1.0000,1.0000,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,12.0721,"playerID,stint,year"
team_vs_team,Qwen3-30B-A3B-Thinking-2507,prime,8,4,0.8571,1.0000,0.7500,DA-TD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,7.9230,"oppID,tmID,year"
team_vs_team,Qwen3-30B-A3B-Thinking-2507,prime,8,4,0.8571,1.0000,0.7500,DA-TB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,7.8208,"oppID,tmID,year"
team_vs_team,Qwen3-30B-A3B-Thinking-2507,prime,8,4,0.8571,1.0000,0.7500,DA-BD,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,17.3179,"oppID,tmID,year"
team_vs_team,Qwen3-30B-A3B-Thinking-2507,prime,8,4,0.8571,1.0000,0.7500,DA-BB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,15.7587,"oppID,tmID,year"
combined_shutouts,Qwen3-30B-A3B-Thinking-2507,prime,8,5,1.0000,1.0000,1.0000,DA-TD,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,6,11.0412,"date,month,oppID,tmID,year"
