dataset,|T|,#FD,#minKeys,#maxAntiKeys,bound_bottomup,bound_topdown,LW-TD_keyQ,LW-TD_totalQ,LW-TD_ms,LW-TB_keyQ,LW-TB_totalQ,LW-TB_ms,LW-BD_keyQ,LW-BD_totalQ,LW-BD_ms,LW-BB_keyQ,LW-BB_totalQ,LW-BB_ms,DA-BD_keyQ,DA-BD_totalQ,DA-BD_ms,DA-BB_keyQ,DA-BB_totalQ,DA-BB_ms,DA-TD_keyQ,DA-TD_totalQ,DA-TD_ms,DA-TB_keyQ,DA-TB_totalQ,DA-TB_ms,best_baseline,best_baseline_totalQ,best_DA,best_DA_totalQ,bestDA_reduction_vs_bestBaseline
abalone,9,54,29,30,329,320,35,211,51,222,252,20,163,199,30,29,319,29,58,155,46,53,162,53,85,170,37,89,155,16,LW-BD,199,DA-BD,155,22.1%
routes,9,15,2,4,42,24,8,161,18,80,84,7,65,77,33,2,434,27,5,33,8,5,33,6,12,21,5,13,20,3,LW-BD,77,DA-TB,20,74.0%
breast,11,43,2,5,62,29,8,225,35,96,101,15,89,104,198,2,1954,244,5,49,3,5,51,7,13,24,6,13,22,10,LW-TB,101,DA-TB,22,78.2%
echo,13,91,39,14,235,560,50,1208,3439,6964,6978,3000,2750,2773,512,39,1267,144,99,180,14,94,186,13,254,294,74,293,334,26,LW-TD,1208,DA-BD,180,85.1%
bridges,13,67,3,2,31,44,15,2417,2763,5632,5634,1990,3330,3343,1512,3,2563,405,5,27,6,5,27,2,35,41,6,35,41,6,LW-TD,2417,DA-BD,27,98.9%
claims,13,17,1,1,15,15,13,14,493,4096,4097,1102,3073,3086,2062,1,4097,1008,1,14,0,1,14,5,13,14,5,13,14,5,LW-TD,14,DA-BD,14,0.0%
pdbx,13,37,11,5,81,159,23,2260,2564,5404,5409,1871,3324,3340,1584,11,2799,488,18,59,6,18,72,8,82,97,11,86,99,10,LW-TD,2260,DA-BD,59,97.4%
adult,15,68,2,10,162,42,7,277,31,48,58,7,48,72,73162,2,32722,75490,5,109,7,5,112,10,11,31,8,11,27,7,LW-TB,58,DA-TB,27,53.4%
hospital,15,42,12,4,76,196,25,10249,57791,20416,20420,37351,15962,15980,40145,12,12364,10308,20,66,6,20,75,7,130,142,11,130,143,10,LW-TD,10249,DA-BD,66,99.4%
lineitem,16,901,390,271,4997,6901,404,11986,307775,52765,53036,273924,24209,24492,110439,390,13161,15959,778,1894,46188,739,2216,2101,1913,2660,166250,2412,3121,5251,LW-TD,11986,DA-BD,1894,84.2%
weather,18,2955,523,230,4893,10167,,105868,cited-Table5,,140602,cited-Table5,,115871,cited-Table5,,122295,cited-Table5,1026,2404,117095,943,2803,3882,2629,3357,1788584,3462,4077,44240,LW-TD,105868,DA-BD,2404,97.7%
ncvoter,19,271,113,42,953,2302,,232701,cited-Table5,,252281,cited-Table5,,249060,cited-Table5,,272163,cited-Table5,199,509,280,184,539,81,1029,1169,13750,1266,1403,2378,LW-TD,232701,DA-BD,509,99.8%
