"# repeats per cell: 2000 for |T|=11, 300 for |T|=13, 100 for |T|=15; every question answered `No' independently with probability p"
strategy,strategy_code,|T|,p,1-p,minedKeys_min,minedKeys_max,minedKeys_avg,minedKeySize_min,minedKeySize_max,minedKeySize_avg,minKeys_min,minKeys_max,minKeys_avg,minKeySize_min,minKeySize_max,minKeySize_avg,keyQuestions_min,keyQuestions_max,keyQuestions_avg,questions_min,questions_max,questions_avg,keyRatio_min,keyRatio_max,keyRatio_avg,rounds_min,rounds_max,rounds_avg,ms_min,ms_max,ms_avg
LW-TD,topdown dfs,11,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,1.0,0,49,0.0375
LW-TD,topdown dfs,11,0.1,0.9,0,31,0.2155,0,218,1.9695,0,31,0.2155,0,218,1.9695,0,42,0.3415,1,272,3.5695,0.0,0.25,0.0121,1,43,1.331,0,99,0.1755
LW-TD,topdown dfs,11,0.2,0.8,0,80,3.3055,0,388,20.9405,0,80,3.3055,0,388,20.9405,0,90,4.15,1,476,20.5125,0.0,0.42857142857142855,0.043,1,90,5.0955,0,401,3.6795
LW-TD,topdown dfs,11,0.3,0.7,0,81,7.458,0,371,38.314,0,81,7.458,0,371,38.314,0,89,9.259,1,304,30.7725,0.0,0.5555555555555556,0.0901,1,89,10.14,0,210,9.6125
LW-TD,topdown dfs,11,0.4,0.6,0,90,10.651,0,409,47.1865,0,90,10.651,0,409,47.1865,0,98,13.5705,1,250,33.878,0.0,0.8333333333333334,0.1646,1,98,14.3835,0,211,19.7455
LW-TD,topdown dfs,11,0.5,0.5,0,69,11.8195,0,267,45.4065,0,69,11.8195,0,267,45.4065,0,77,15.9905,1,174,31.9855,0.0,1.0,0.2659,1,78,16.6815,0,235,36.419
LW-TD,topdown dfs,11,0.6,0.4,0,55,11.6495,0,224,38.093,0,55,11.6495,0,224,38.093,0,64,16.9785,1,126,28.1585,0.0,1.0,0.3789,1,65,17.5625,0,253,55.5465
LW-TD,topdown dfs,11,0.7,0.30000000000000004,0,49,10.488,0,150,28.845,0,49,10.488,0,150,28.845,0,58,16.9045,1,97,24.215,0.0,1.0,0.5008,1,58,17.352,0,253,76.618
LW-TD,topdown dfs,11,0.8,0.20000000000000007,0,40,8.503,0,107,18.537,0,40,8.503,0,107,18.537,0,49,16.326,1,68,20.454,0.0,1.0,0.6634,1,49,16.5995,0,235,97.719
LW-TD,topdown dfs,11,0.9,0.10000000000000009,0,28,5.296,0,82,8.0445,0,28,5.296,0,82,8.0445,0,38,14.4975,1,52,16.1415,0.0,1.0,0.8287,1,38,14.625,0,206,111.3765
LW-TD,topdown dfs,11,1.0,1.1102230246251565E-16,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,12,12,12.0,12,12,12.0,1.0,1.0,1.0,12,12,12.0,100,186,115.577
LW-TD,topdown dfs,13,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,1.0,0,0,0.0
LW-TD,topdown dfs,13,0.1,0.9,0,104,1.1433,0,763,9.53,0,104,1.1433,0,763,9.53,0,114,1.3767,1,996,13.8867,0.0,0.25,0.0087,1,115,2.3633,0,761,5.37
LW-TD,topdown dfs,13,0.2,0.8,0,155,5.7567,0,818,38.6933,0,155,5.7567,0,818,38.6933,0,164,6.6733,1,852,33.57,0.0,0.2702702702702703,0.0349,1,165,7.62,0,3191,42.6
LW-TD,topdown dfs,13,0.3,0.7,0,147,15.3167,0,710,84.74,0,147,15.3167,0,710,84.74,0,157,17.8067,1,560,59.1333,0.0,0.5454545454545454,0.0927,1,157,18.69,0,3353,154.3033
LW-TD,topdown dfs,13,0.4,0.6,0,115,20.2,0,442,91.0733,0,115,20.2,0,442,91.0733,0,125,23.9533,1,340,60.6,0.0,0.5789473684210527,0.1602,1,126,24.7333,0,4023,471.1867
LW-TD,topdown dfs,13,0.5,0.5,0,108,19.6533,0,400,80.8333,0,108,19.6533,0,400,80.8333,0,119,24.8833,1,246,50.4,0.0,0.6923076923076923,0.2577,1,119,25.6133,0,4284,679.7733
LW-TD,topdown dfs,13,0.6,0.4,0,67,18.6467,0,270,67.1367,0,67,18.6467,0,270,67.1367,0,78,25.1267,1,149,42.0267,0.0,0.9565217391304348,0.3739,1,78,25.7533,0,4275,932.3733
LW-TD,topdown dfs,13,0.7,0.30000000000000004,0,64,14.7567,0,230,44.4467,0,64,14.7567,0,230,44.4467,0,75,22.34,1,119,31.9633,0.0,1.0,0.4915,1,75,22.8333,0,4215,1395.8333
